OCCUPATION_TYPE;EXT_SOURCE_3;AMT_REQ_CREDIT_BUREAU_HOUR;AMT_REQ_CREDIT_BUREAU_DAY;AMT_REQ_CREDIT_BUREAU_WEEK;AMT_REQ_CREDIT_BUREAU_MON;AMT_REQ_CREDIT_BUREAU_QRT;AMT_REQ_CREDIT_BUREAU_YEAR;NAME_TYPE_SUITE;OBS_30_CNT_SOCIAL_CIRCLE;DEF_30_CNT_SOCIAL_CIRCLE;OBS_60_CNT_SOCIAL_CIRCLE;DEF_60_CNT_SOCIAL_CIRCLE;EXT_SOURCE_2;AMT_GOODS_PRICE;AMT_ANNUITY;CNT_FAM_MEMBERS;DAYS_LAST_PHONE_CHANGE;CNT_CHILDREN;FLAG_DOCUMENT_8;NAME_CONTRACT_TYPE;CODE_GENDER;FLAG_OWN_CAR;FLAG_DOCUMENT_2;FLAG_DOCUMENT_3;FLAG_DOCUMENT_4;FLAG_DOCUMENT_5;FLAG_DOCUMENT_6;FLAG_DOCUMENT_7;FLAG_DOCUMENT_9;FLAG_DOCUMENT_21;FLAG_DOCUMENT_10;FLAG_DOCUMENT_11;FLAG_OWN_REALTY;FLAG_DOCUMENT_13;FLAG_DOCUMENT_14;FLAG_DOCUMENT_15;FLAG_DOCUMENT_16;FLAG_DOCUMENT_17;FLAG_DOCUMENT_18;FLAG_DOCUMENT_19;FLAG_DOCUMENT_20;FLAG_DOCUMENT_12;AMT_CREDIT;AMT_INCOME_TOTAL;FLAG_PHONE;LIVE_CITY_NOT_WORK_CITY;REG_CITY_NOT_WORK_CITY;TARGET;REG_CITY_NOT_LIVE_CITY;LIVE_REGION_NOT_WORK_REGION;REG_REGION_NOT_WORK_REGION;REG_REGION_NOT_LIVE_REGION;HOUR_APPR_PROCESS_START;WEEKDAY_APPR_PROCESS_START;REGION_RATING_CLIENT_W_CITY;REGION_RATING_CLIENT;FLAG_EMAIL;FLAG_CONT_MOBILE;ORGANIZATION_TYPE;FLAG_WORK_PHONE;FLAG_EMP_PHONE;FLAG_MOBIL;DAYS_ID_PUBLISH;DAYS_REGISTRATION;DAYS_EMPLOYED;DAYS_BIRTH;REGION_POPULATION_RELATIVE;NAME_HOUSING_TYPE;NAME_FAMILY_STATUS;NAME_EDUCATION_TYPE;NAME_INCOME_TYPE;SK_ID_CURR;AGE
Unknown;0.6512602186973006;0.0;0.0;0.0;0.0;2.0;2.0;Spouse, partner;4.0;0.0;4.0;0.0;0.5861769357536845;675000.0;38938.5;2.0;-1554.0;0;0;Cash loans;F;N;0;1;0;0;0;0;0;0;0;0;Y;0;0;0;0;0;0;0;0;0;728460.0;157500.0;0;0;0;0;0;0;0;0;14;TUESDAY;3;3;0;1;Unknown;0;0;1;-2647;-10079.0;-1681.0;-19099;0.0105;House / apartment;Married;Secondary / secondary special;Pensioner;260941;52
Low-skill Laborers;0.6092756673894402;0.0;0.0;0.0;0.0;0.0;0.0;Unaccompanied;0.0;0.0;0.0;0.0;0.3338866721326321;1125000.0;37800.0;1.0;0.0;0;0;Cash loans;F;N;0;1;0;0;0;0;0;0;0;0;Y;0;0;0;0;0;0;0;0;0;1288350.0;135000.0;0;1;1;0;0;0;0;0;10;SUNDAY;2;2;0;1;Business Entity;0;1;1;-4257;-5044.0;-4570.0;-20849;0.010276;House / apartment;Single / not married;Secondary / secondary special;Working;152450;57
High skill tech staff;0.2692857999073816;0.0;0.0;0.0;2.0;0.0;6.0;Unaccompanied;0.0;0.0;0.0;0.0;0.7632931596180854;904500.0;30285.0;2.0;-543.0;0;0;Cash loans;F;N;0;1;0;0;0;0;0;0;0;0;N;0;0;0;0;0;0;0;0;0;1035832.5;121500.0;1;0;0;0;0;0;0;0;15;FRIDAY;2;2;1;1;Telecom;0;1;1;-4599;-7662.0;-3719.0;-13601;0.022625;House / apartment;Married;Higher education;Working;364344;37
Laborers;0.6263042766749393;0.0;0.0;0.0;0.0;1.0;1.0;Unaccompanied;3.0;1.0;3.0;1.0;0.4951583653730064;135000.0;18688.5;2.0;0.0;0;0;Cash loans;M;Y;0;1;0;0;0;0;0;0;0;0;Y;0;0;0;0;0;0;0;0;0;156384.0;157500.0;0;0;0;0;0;0;0;0;13;MONDAY;2;2;0;1;Business Entity;0;1;1;-4510;-1306.0;-5809.0;-14319;0.02461;House / apartment;Married;Secondary / secondary special;Working;365959;39
Unknown;0.4830501881366946;0.0;0.0;0.0;0.0;0.0;2.0;Unaccompanied;3.0;0.0;2.0;0.0;0.4866275797554968;135000.0;6750.0;3.0;-819.0;1;0;Revolving loans;F;Y;0;0;0;0;0;0;0;0;0;0;N;0;0;0;0;0;0;0;0;0;135000.0;112500.0;0;0;0;0;0;0;0;0;14;WEDNESDAY;2;2;0;1;Construction;0;1;1;-3323;-6917.0;-527.0;-11321;0.0084739999999999;House / apartment;Married;Higher education;Working;125420;31
Laborers;0.5352762504724826;0.0;0.0;0.0;0.0;0.0;4.0;Unaccompanied;0.0;0.0;0.0;0.0;0.3818269572221824;450000.0;29430.0;1.0;-1490.0;0;0;Cash loans;M;Y;0;1;0;0;0;0;0;0;0;0;N;0;0;0;0;0;0;0;0;0;450000.0;135000.0;0;1;1;1;0;1;1;0;15;SUNDAY;2;2;0;1;Self-employed;0;1;1;-3488;-4789.0;-763.0;-10912;0.00496;House / apartment;Single / not married;Higher education;Working;403499;29
Laborers;0.6971469077844458;0.0;0.0;0.0;1.0;0.0;1.0;Unaccompanied;2.0;0.0;2.0;0.0;0.2969829495837593;1350000.0;43681.5;2.0;-2418.0;0;0;Cash loans;M;Y;0;1;0;0;0;0;0;0;0;0;Y;0;0;0;0;0;0;0;0;0;1350000.0;202500.0;0;0;0;0;0;0;0;0;16;WEDNESDAY;2;2;0;1;Business Entity;0;1;1;-2644;-4887.0;-2663.0;-10001;0.025164;With parents;Married;Secondary / secondary special;Working;140670;27
Unknown;0.3360615207658242;0.0;0.0;0.0;0.0;2.0;3.0;Unaccompanied;0.0;0.0;0.0;0.0;0.5501012894344819;450000.0;19449.0;2.0;-1746.0;0;0;Cash loans;F;Y;0;1;0;0;0;0;0;0;0;0;N;0;0;0;1;0;0;0;0;0;521280.0;180000.0;0;0;0;0;0;0;0;0;11;WEDNESDAY;2;2;0;1;Other;0;1;1;-1633;-4679.0;-266.0;-21670;0.010276;House / apartment;Married;Secondary / secondary special;Commercial associate;185400;59
Unknown;0.5352762504724826;0.0;0.0;0.0;0.0;0.0;1.0;Family;2.0;0.0;2.0;0.0;0.6820498255181684;225000.0;21168.0;3.0;-480.0;1;0;Cash loans;F;N;0;1;0;0;0;0;0;0;0;0;Y;0;0;0;0;0;0;0;0;0;225000.0;180000.0;1;1;1;0;0;1;1;0;17;SATURDAY;1;1;0;1;Business Entity;1;1;1;-862;-718.0;-499.0;-15896;0.04622;House / apartment;Married;Higher education;Commercial associate;290203;43
Managers;0.5638350489514956;0.0;0.0;0.0;0.0;0.0;1.0;Unaccompanied;1.0;1.0;1.0;1.0;0.6561820128474227;472500.0;35379.0;2.0;0.0;0;0;Cash loans;F;N;0;1;0;0;0;0;0;0;0;0;Y;0;0;0;0;0;0;0;0;0;553581.0;450000.0;1;0;0;0;0;0;0;0;17;THURSDAY;1;1;0;1;Trade;1;1;1;-2526;-12244.0;-953.0;-15975;0.032561;House / apartment;Married;Higher education;Commercial associate;156856;43
Unknown;0.5262949398096192;0.0;0.0;0.0;0.0;0.0;4.0;Family;0.0;0.0;0.0;0.0;0.537401988152239;679500.0;23800.5;2.0;-1084.0;0;0;Cash loans;F;N;0;1;0;0;0;0;0;0;0;0;N;0;0;0;0;0;0;0;0;0;814041.0;72000.0;1;0;0;0;0;0;0;0;19;TUESDAY;2;2;0;1;Unknown;0;0;1;-4124;-10155.0;-1681.0;-22961;0.010147;House / apartment;Married;Incomplete higher;Pensioner;150058;62
Unknown;0.5316861425197883;0.0;0.0;0.0;0.0;1.0;3.0;Unaccompanied;0.0;0.0;0.0;0.0;0.7305447117906839;1350000.0;43681.5;2.0;-1026.0;0;1;Cash loans;M;Y;0;0;0;0;0;0;0;0;0;0;N;0;0;0;0;0;0;0;0;0;1350000.0;225000.0;0;1;1;1;1;0;0;0;9;FRIDAY;2;2;0;1;Self-employed;1;1;1;-2837;-2837.0;-4996.0;-19551;0.019101;Rented apartment;Married;Secondary / secondary special;Working;264715;53
Laborers;0.0472748180273464;0.0;0.0;1.0;0.0;0.0;4.0;Unaccompanied;0.0;0.0;0.0;0.0;0.0272475176117582;900000.0;52452.0;1.0;-20.0;0;0;Cash loans;M;N;0;1;0;0;0;0;0;0;0;0;N;0;0;0;0;0;0;0;0;0;1024740.0;202500.0;0;0;0;0;0;0;0;0;16;FRIDAY;2;2;0;1;Housing;0;1;1;-1148;-2222.0;-1171.0;-8469;0.0228;With parents;Single / not married;Secondary / secondary special;Working;373306;23
Unknown;0.5352762504724826;0.0;0.0;0.0;0.0;0.0;1.0;Unaccompanied;1.0;0.0;1.0;0.0;0.6596320573758511;472500.0;27256.5;2.0;-616.0;0;0;Cash loans;F;Y;0;0;0;0;1;0;0;0;0;0;Y;0;0;0;0;0;0;0;0;0;472500.0;171000.0;0;0;0;0;0;0;0;0;18;THURSDAY;1;1;0;1;Unknown;0;0;1;-5027;-5058.0;-1681.0;-23135;0.072508;House / apartment;Married;Higher education;Pensioner;230304;63
Medicine staff;0.5136937663039473;0.0;0.0;0.0;0.0;0.0;3.0;Unaccompanied;0.0;0.0;0.0;0.0;0.2652563401861944;1125000.0;37800.0;2.0;-3119.0;0;0;Cash loans;F;Y;0;1;0;0;0;0;0;0;0;0;Y;0;0;0;0;0;0;0;0;0;1288350.0;103500.0;0;1;1;0;0;0;0;0;9;WEDNESDAY;2;2;0;1;Medicine;0;1;1;-1477;-3494.0;-3746.0;-17923;0.031329;House / apartment;Married;Secondary / secondary special;Working;301983;49
Laborers;0.4992720153045617;0.0;0.0;0.0;0.0;0.0;3.0;Unaccompanied;0.0;0.0;0.0;0.0;0.5329576755442461;135000.0;14175.0;4.0;0.0;2;0;Cash loans;F;N;0;1;0;0;0;0;0;0;0;0;N;0;0;0;0;0;0;0;0;0;177768.0;112500.0;0;1;1;0;0;0;0;0;8;THURSDAY;2;2;0;1;Industry;0;1;1;-4181;-7118.0;-578.0;-13214;0.010966;House / apartment;Married;Secondary / secondary special;Working;289313;36
Sales staff;0.4276573700350293;0.0;0.0;0.0;0.0;0.0;0.0;Family;1.0;1.0;0.0;0.0;0.0871220292527141;454500.0;33511.5;2.0;-364.0;0;0;Cash loans;M;N;0;1;0;0;0;0;0;0;0;0;Y;0;0;0;0;0;0;0;0;0;481495.5;90000.0;0;0;0;0;0;0;0;0;11;FRIDAY;2;2;0;1;Business Entity;1;1;1;-1709;-7511.0;-113.0;-13844;0.022625;House / apartment;Married;Secondary / secondary special;Working;382748;37
Unknown;0.5352762504724826;0.0;0.0;0.0;0.0;1.0;0.0;Unaccompanied;2.0;1.0;2.0;1.0;0.3454858866640793;675000.0;21906.0;2.0;-1032.0;0;0;Cash loans;F;N;0;1;0;0;0;0;0;0;0;0;Y;0;0;0;0;0;0;0;0;0;675000.0;157500.0;0;0;0;1;0;0;0;0;10;SUNDAY;2;2;0;1;Trade;0;1;1;-2132;-325.0;-90.0;-12752;0.0145199999999999;House / apartment;Married;Secondary / secondary special;Commercial associate;166539;34
Unknown;0.4614823912998385;0.0;0.0;0.0;0.0;2.0;3.0;Unaccompanied;2.0;1.0;2.0;1.0;0.0157086441911829;292500.0;15052.5;1.0;-1012.0;0;0;Cash loans;F;N;0;0;0;0;1;0;0;0;0;0;Y;0;0;0;0;0;0;0;0;0;338832.0;193500.0;0;0;0;1;0;0;0;0;11;SATURDAY;2;2;0;1;Unknown;0;0;1;-4274;-4729.0;-1681.0;-20741;0.00963;House / apartment;Separated;Secondary / secondary special;Pensioner;222853;56
High skill tech staff;0.1624419982223248;0.0;0.0;0.0;0.0;0.0;0.0;Unaccompanied;0.0;0.0;0.0;0.0;0.5783103453759386;270000.0;13500.0;2.0;-193.0;0;0;Revolving loans;M;Y;0;0;0;0;0;0;0;0;0;0;Y;0;0;0;0;0;0;0;0;0;270000.0;126000.0;0;0;0;0;0;0;0;0;15;TUESDAY;2;2;0;1;Police;0;1;1;-4190;-6009.0;-1804.0;-12202;0.018634;House / apartment;Married;Higher education;Working;290314;33
Unknown;0.6006575372857061;0.0;0.0;0.0;0.0;0.0;6.0;Unaccompanied;3.0;1.0;3.0;0.0;0.177903883485287;423000.0;25047.0;2.0;-868.0;0;0;Cash loans;F;N;0;1;0;0;0;0;0;0;0;0;Y;0;0;0;0;0;0;0;0;0;512338.5;148500.0;0;0;0;0;0;0;0;0;12;FRIDAY;2;2;0;1;Business Entity;1;1;1;-5030;-5607.0;-2439.0;-15223;0.025164;House / apartment;Married;Secondary / secondary special;Working;314231;41
Laborers;0.2707073872651806;0.0;0.0;0.0;0.0;2.0;5.0;Spouse, partner;0.0;0.0;0.0;0.0;0.2632411250133655;270000.0;13914.0;2.0;-1719.0;0;0;Cash loans;F;N;0;1;0;0;0;0;0;0;0;0;Y;0;0;0;0;0;0;0;0;0;270000.0;135000.0;0;1;1;0;0;0;0;0;9;SATURDAY;2;2;0;1;Business Entity;0;1;1;-4459;-1233.0;-2648.0;-20922;0.031329;House / apartment;Married;Secondary / secondary special;Working;305238;57
Unknown;0.5352762504724826;0.0;0.0;0.0;0.0;0.0;1.0;Unaccompanied;0.0;0.0;0.0;0.0;0.5590517536491058;675000.0;83407.5;1.0;-434.0;0;0;Cash loans;F;Y;0;1;0;0;0;0;0;0;0;0;Y;0;0;0;0;0;0;0;0;0;701730.0;360000.0;0;0;0;0;0;0;0;0;15;TUESDAY;1;1;0;1;Unknown;0;0;1;-5080;-302.0;-1681.0;-21784;0.032561;House / apartment;Single / not married;Higher education;Pensioner;295940;59
Managers;0.3927738606031339;0.0;0.0;0.0;0.0;0.0;1.0;Unaccompanied;5.0;0.0;5.0;0.0;0.7187167073552669;225000.0;16573.5;4.0;-1765.0;2;0;Cash loans;F;N;0;1;0;0;0;0;0;0;0;0;Y;0;0;0;0;0;0;0;0;0;314100.0;112500.0;0;0;0;1;0;0;0;0;10;SATURDAY;3;3;0;1;Trade;1;1;1;-308;-658.0;-427.0;-10976;0.018029;House / apartment;Married;Secondary / secondary special;Working;404498;30
Unknown;0.6263042766749393;0.0;0.0;0.0;0.0;0.0;2.0;Unaccompanied;1.0;0.0;1.0;0.0;0.6857748676410291;675000.0;34465.5;2.0;-2067.0;0;0;Cash loans;M;Y;0;1;0;0;0;0;0;0;0;0;N;0;0;0;0;0;0;0;0;0;675000.0;270000.0;1;0;0;0;0;0;0;0;9;SUNDAY;2;2;1;1;Hotel;1;1;1;-4920;-3111.0;-3337.0;-14565;0.031329;House / apartment;Married;Secondary / secondary special;Working;161125;39
Unknown;0.5919766183185521;0.0;0.0;0.0;0.0;0.0;2.0;Family;2.0;0.0;2.0;0.0;0.5571641854267586;463500.0;24160.5;4.0;-1577.0;2;0;Cash loans;M;Y;0;1;0;0;0;0;0;0;0;0;Y;0;0;0;0;0;0;0;0;0;518562.0;184500.0;0;0;0;0;0;0;0;0;9;SATURDAY;3;3;0;1;Unknown;0;0;1;-5636;-3294.0;-1681.0;-15209;0.018209;House / apartment;Married;Secondary / secondary special;Pensioner;426865;41
Managers;0.2498850627504553;0.0;0.0;0.0;0.0;0.0;1.0;Unaccompanied;8.0;0.0;8.0;0.0;0.6069203238053984;225000.0;23850.0;2.0;-1349.0;0;0;Cash loans;F;N;0;1;0;0;0;0;0;0;0;0;Y;0;0;0;0;0;0;0;0;0;239850.0;112500.0;1;0;0;0;0;0;0;0;11;THURSDAY;2;2;0;1;Government;0;1;1;-3073;-7699.0;-5577.0;-19542;0.00496;House / apartment;Married;Incomplete higher;Commercial associate;369046;53
Laborers;0.1684161714286957;0.0;0.0;0.0;0.0;2.0;6.0;Unaccompanied;10.0;1.0;10.0;1.0;0.5750753634080498;292500.0;23805.0;2.0;-611.0;0;1;Cash loans;M;Y;0;0;0;0;0;0;0;0;0;0;Y;0;0;0;0;0;0;0;0;0;354276.0;202500.0;0;0;0;0;0;0;0;0;11;FRIDAY;2;2;0;1;Transport;1;1;1;-4054;-86.0;-3319.0;-15345;0.018801;House / apartment;Married;Secondary / secondary special;Working;452487;42
Medicine staff;0.6940926425266661;0.0;0.0;0.0;0.0;2.0;1.0;Unaccompanied;0.0;0.0;0.0;0.0;0.6018852922718863;1129500.0;31189.5;4.0;-687.0;2;0;Cash loans;F;N;0;1;0;0;0;0;0;0;0;0;Y;0;0;0;0;0;0;0;0;0;1129500.0;225000.0;1;0;0;0;0;0;0;0;13;MONDAY;2;2;0;1;Business Entity;0;1;1;-1584;-1771.0;-94.0;-18029;0.0228;House / apartment;Married;Secondary / secondary special;Commercial associate;209923;49
Managers;0.5352762504724826;0.0;0.0;0.0;0.0;0.0;1.0;Unaccompanied;1.0;0.0;1.0;0.0;0.2625969832802178;283500.0;13788.0;3.0;-981.0;1;0;Cash loans;F;N;0;1;0;0;0;0;0;0;0;0;N;0;0;0;0;0;0;0;0;0;283500.0;193500.0;1;1;1;1;0;0;0;0;12;WEDNESDAY;2;2;0;1;Postal;1;1;1;-328;-324.0;-1046.0;-10358;0.0084739999999999;House / apartment;Married;Secondary / secondary special;Working;140401;28
Laborers;0.133429254467317;0.0;0.0;0.0;0.0;0.0;7.0;Unaccompanied;0.0;0.0;0.0;0.0;0.3444087123456521;252000.0;17563.5;2.0;-2964.0;0;0;Cash loans;F;N;0;1;0;0;0;0;0;0;0;0;Y;0;0;0;0;0;0;0;0;0;358443.0;225000.0;1;0;0;1;0;0;0;0;10;TUESDAY;2;2;0;1;Business Entity;0;1;1;-1364;-9538.0;-7435.0;-17840;0.031329;House / apartment;Married;Secondary / secondary special;Working;361587;48
Unknown;0.4066174366275036;0.0;0.0;0.0;0.0;0.0;0.0;Unaccompanied;1.0;0.0;1.0;0.0;0.6630603732922612;463500.0;16407.0;1.0;-453.0;0;0;Cash loans;F;N;0;0;0;0;1;0;0;0;0;0;N;0;0;0;0;0;0;0;0;0;536917.5;112500.0;0;0;0;0;0;0;0;0;15;THURSDAY;2;2;0;1;Unknown;0;0;1;-479;-705.0;-1681.0;-16948;0.00702;House / apartment;Separated;Higher education;Pensioner;177629;46
Unknown;0.7503751495159068;0.0;0.0;0.0;1.0;0.0;0.0;Unaccompanied;1.0;0.0;1.0;0.0;0.6521947523783574;54000.0;6084.0;1.0;-555.0;0;0;Cash loans;F;N;0;0;0;0;1;0;0;0;0;0;Y;0;0;0;0;0;0;0;0;0;61128.0;54000.0;1;0;0;0;0;0;0;0;10;TUESDAY;2;2;0;1;Unknown;0;0;1;-5018;-144.0;-1681.0;-24145;0.010147;House / apartment;Widow;Secondary / secondary special;Pensioner;263462;66
Unknown;0.5352762504724826;0.0;0.0;0.0;0.0;0.0;1.0;Unaccompanied;0.0;0.0;0.0;0.0;0.4820126289144447;1350000.0;44748.0;2.0;-669.0;0;0;Cash loans;M;N;0;1;0;0;0;0;0;0;0;0;Y;0;0;0;0;0;0;0;0;0;1350000.0;225000.0;0;0;0;0;0;0;0;0;13;WEDNESDAY;2;2;0;1;Police;0;1;1;-1961;-4898.0;-7078.0;-18543;0.028663;House / apartment;Married;Higher education;Working;265848;50
Laborers;0.5352762504724826;0.0;0.0;0.0;0.0;0.0;0.0;Spouse, partner;3.0;0.0;3.0;0.0;0.2524337304481729;675000.0;33259.5;3.0;0.0;1;0;Cash loans;M;N;0;1;0;0;0;0;0;0;0;0;N;0;0;0;0;0;0;0;0;0;835380.0;135000.0;0;0;1;0;1;0;1;1;11;FRIDAY;3;3;0;1;Industry;0;1;1;-135;-4106.0;-216.0;-16603;0.018209;House / apartment;Married;Secondary / secondary special;Working;309725;45
Laborers;0.5352762504724826;0.0;0.0;0.0;0.0;0.0;1.0;Unaccompanied;0.0;0.0;0.0;0.0;0.7216252143496428;450000.0;24259.5;2.0;-591.0;0;0;Cash loans;M;Y;0;1;0;0;0;0;0;0;0;0;Y;0;0;0;0;0;0;0;0;0;640080.0;270000.0;1;1;1;0;0;0;0;0;16;FRIDAY;1;1;0;1;Self-employed;1;1;1;-777;-7295.0;-2425.0;-17228;0.04622;House / apartment;Married;Secondary / secondary special;Working;105902;47
